Code,AreaName,Region,NHS_Region
E92000001,England,England,England
E12000004,East Midlands region,East Midlands region,East Midlands region
E12000006,East of England region,East of England region,East of England region
E12000007,London region,London region,London region
E12000001,North East region,North East region,North East region
E12000002,North West region,North West region,North West region
E12000008,South East region,South East region,South East region
E12000009,South West region,South West region,South West region
E12000005,West Midlands region,West Midlands region,West Midlands region
E12000003,Yorkshire and the Humber region,Yorkshire and the Humber region,Yorkshire and the Humber region
E06000015,Derby,East Midlands region,East Midlands region
E06000016,Leicester,East Midlands region,East Midlands region
E10000007,Derbyshire,East Midlands region,East Midlands region
E06000018,Nottingham,East Midlands region,East Midlands region
E10000024,Nottinghamshire,East Midlands region,East Midlands region
E06000061,North Northamptonshire,East Midlands region,East Midlands region
E06000017,Rutland,East Midlands region,East Midlands region
E10000019,Lincolnshire,East Midlands region,East Midlands region
E06000062,West Northamptonshire,East Midlands region,East Midlands region
E10000018,Leicestershire,East Midlands region,East Midlands region
E06000055,Bedford,East of England region,East of England region
E10000003,Cambridgeshire,East of England region,East of England region
E06000056,Central Bedfordshire,East of England region,East of England region
E10000012,Essex,East of England region,East of England region
E10000015,Hertfordshire,East of England region,East of England region
E06000032,Luton,East of England region,East of England region
E10000020,Norfolk,East of England region,East of England region
E06000031,Peterborough,East of England region,East of England region
E06000033,Southend-on-Sea,East of England region,East of England region
E10000029,Suffolk,East of England region,East of England region
E06000034,Thurrock,East of England region,East of England region
E09000002,Barking and Dagenham,London region,London region
E09000003,Barnet,London region,London region
E09000004,Bexley,London region,London region
E09000005,Brent,London region,London region
E09000006,Bromley,London region,London region
E09000007,Camden,London region,London region
E09000001,City of London,London region,London region
E09000008,Croydon,London region,London region
E09000009,Ealing,London region,London region
E09000010,Enfield,London region,London region
E09000011,Greenwich,London region,London region
E09000012,Hackney,London region,London region
E09000013,Hammersmith and Fulham,London region,London region
E09000014,Haringey,London region,London region
E09000015,Harrow,London region,London region
E09000016,Havering,London region,London region
E09000017,Hillingdon,London region,London region
E09000018,Hounslow,London region,London region
E09000019,Islington,London region,London region
E09000020,Kensington and Chelsea,London region,London region
E09000021,Kingston upon Thames,London region,London region
E09000022,Lambeth,London region,London region
E09000023,Lewisham,London region,London region
E09000024,Merton,London region,London region
E09000025,Newham,London region,London region
E09000026,Redbridge,London region,London region
E09000027,Richmond upon Thames,London region,London region
E09000028,Southwark,London region,London region
E09000029,Sutton,London region,London region
E09000030,Tower Hamlets,London region,London region
E09000031,Waltham Forest,London region,London region
E09000032,Wandsworth,London region,London region
E09000033,Westminster,London region,London region
E06000047,County Durham,North East region,North East region
E06000005,Darlington,North East region,North East region
E08000037,Gateshead,North East region,North East region
E06000001,Hartlepool,North East region,North East region
E06000002,Middlesbrough,North East region,North East region
E08000021,Newcastle upon Tyne,North East region,North East region
E08000022,North Tyneside,North East region,North East region
E06000057,Northumberland,North East region,North East region
E06000003,Redcar and Cleveland,North East region,North East region
E08000023,South Tyneside,North East region,North East region
E06000004,Stockton-on-Tees,North East region,North East region
E08000024,Sunderland,North East region,North East region
E06000008,Blackburn with Darwen,North West region,North West region
E06000009,Blackpool,North West region,North West region
E08000001,Bolton,North West region,North West region
E08000002,Bury,North West region,North West region
E06000049,Cheshire East,North West region,North West region
E06000050,Cheshire West and Chester,North West region,North West region
E10000006,Cumbria,North West region,North West region
E06000006,Halton,North West region,North West region
E08000011,Knowsley,North West region,North West region
E10000017,Lancashire,North West region,North West region
E08000012,Liverpool,North West region,North West region
E08000003,Manchester,North West region,North West region
E08000004,Oldham,North West region,North West region
E08000005,Rochdale,North West region,North West region
E08000006,Salford,North West region,North West region
E08000014,Sefton,North West region,North West region
E08000013,St. Helens,North West region,North West region
E08000007,Stockport,North West region,North West region
E08000008,Tameside,North West region,North West region
E08000009,Trafford,North West region,North West region
E06000007,Warrington,North West region,North West region
E08000010,Wigan,North West region,North West region
E08000015,Wirral,North West region,North West region
E06000036,Bracknell Forest,South East region,South East region
E06000043,Brighton and Hove,South East region,South East region
E06000060,Buckinghamshire UA,South East region,South East region
E10000011,East Sussex,South East region,South East region
E10000014,Hampshire,South East region,South East region
E06000046,Isle of Wight,South East region,South East region
E10000016,Kent,South East region,South East region
E06000035,Medway,South East region,South East region
E06000042,Milton Keynes,South East region,South East region
E10000025,Oxfordshire,South East region,South East region
E06000044,Portsmouth,South East region,South East region
E06000038,Reading,South East region,South East region
E06000039,Slough,South East region,South East region
E06000045,Southampton,South East region,South East region
E10000030,Surrey,South East region,South East region
E06000037,West Berkshire,South East region,South East region
E10000032,West Sussex,South East region,South East region
E06000040,Windsor and Maidenhead,South East region,South East region
E06000041,Wokingham,South East region,South East region
E06000022,Bath and North East Somerset,South West region,South West region
E06000058,"Bournemouth, Christchurch and Poole",South West region,South West region
E06000023,Bristol,South West region,South West region
E06000052,Cornwall,South West region,South West region
E10000008,Devon,South West region,South West region
E06000059,Dorset,South West region,South West region
E10000013,Gloucestershire,South West region,South West region
E06000053,Isles of Scilly,South West region,South West region
E06000024,North Somerset,South West region,South West region
E06000026,Plymouth,South West region,South West region
E10000027,Somerset Cty,South West region,South West region
E06000025,South Gloucestershire,South West region,South West region
E06000030,Swindon,South West region,South West region
E06000027,Torbay,South West region,South West region
E06000054,Wiltshire,South West region,South West region
E08000025,Birmingham,West Midlands region,West Midlands region
E08000026,Coventry,West Midlands region,West Midlands region
E08000027,Dudley,West Midlands region,West Midlands region
E06000019,Herefordshire,West Midlands region,West Midlands region
E08000028,Sandwell,West Midlands region,West Midlands region
