Category,Measure,Description,Link
Population Metrics,Ethnicity,The ethnic groups of usual residents and household ethnic composition in England - ONS data,"https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/
ethnicity/bulletins/ethnicgroupenglandandwales/census2021"
Population Metrics,Population,Mid-year population estimates for resident populations - ONS,"https://fingertips.phe.org.uk/search/92708#page/6/gid/1/pat/159/par
/K02000001/ati/15/are/E92000001/iid/92708/age/1/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Population Metrics,Deprivation score (IMD 2019),"The English Indices of Deprivation 2019 use 39 separate indicators, organised across seven distinct domains of deprivation which can be combined, using appropriate weights, to calculate the Index of Multiple Deprivation 2019 (IMD 2019). This is an overall measure of multiple deprivation experienced by people living in an area - Ministry of Housing","https://fingertips.phe.org.uk/search/deprivation%20index#page/6/gid/1/pat/159/par/K02000
001/ati/15/are/E92000001/iid/93553/age/1/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Population Metrics,Life expectancy at birth,The average number of years a person would expect to live based on contemporary mortality rates - ONS,"https://fingertips.phe.org.uk/search/life%20expectancy%20at%20birth#page/6/gid/1/pat/159
/par/K02000001/ati/15/are/E92000001/iid/90366/age/1/sex/2/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Population Metrics,Inequality in life expectancy at birth,"This indicator measures inequalities in life expectancy at birth within England as a whole, each English region, and each local authority. Life expectancy at birth is calculated for each deprivation decile of lower super output areas within each area and then the slope index of inequality (SII) is calculated based on these figures. The SII is a measure of the social gradient in life expectancy, i.e. how much life expectancy varies with deprivation - Office for Health Improvements and Disparities","https://fingertips.phe.org.uk/search/life%20expectancy%20at%20birth#page/6/gid/1/pat/159
/par/K02000001/ati/15/are/E92000001/iid/92901/age/1/sex/2/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1"
Population Metrics,Healthy life expectancy at birth,Healthy life expectancy shows the years a person can expect to live in good health (rather than with a disability or in poor health) - ONS,"https://fingertips.phe.org.uk/search/life%20expectancy%20at%20birth#page/6/gid/1/pat/159
/par/K02000001/ati/15/are/E92000001/iid/90362/age/1/sex/2/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1"
Education & Employment,School ready at end of reception,Children defined as having reached a good level of development at the end of the Early Years Foundation Stage (EYFS) as a percentage of all eligible children - DfE,"https://fingertips.phe.org.uk/search/90631#page/6/gid/1/pat/159/par/K02000001/ati/15/are
/E92000001/iid/90631/age/34/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Education & Employment,Average Attainment 8 score,"Average Attainment 8 score for all pupils in state-funded schools, based on local authority of pupil residence - DfE","https://fingertips.phe.org.uk/search/93378#page/6/gid/1/pat/159/par/K02000001/ati/15/are
/E92000001/iid/93378/age/175/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Education & Employment,16-17 year old NEET,"Proportion of 16 to 17 year olds not in education, employment or training (NEET) or whose activity is not known - DfE","https://fingertips.phe.org.uk/search/93203#page/6/gid/1/pat/159/par/K02000001/ati/15/are
/E92000001/iid/93203/age/174/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
Education & Employment,"Long-Term Unemployment per 1,000","Average monthly claimants of Jobseeker's Allowance who have been claiming for more than 12 months, expressed as a rate per 1,000 of the working age population - NOMIS","https://fingertips.phe.org.uk/search/93098#page/6/gid/1/pat/159/par/K02000001/ati/15/are
/E92000001/iid/93098/age/204/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1"
