Upper_Tier,Ethnicity,Ethnic_Population,Population,Prop
Barking and Dagenham,White,98275,218871,0.45
Barking and Dagenham,Asian,56583,218871,0.26
Barking and Dagenham,Black,46807,218871,0.21
Barking and Dagenham,Mixed,9320,218871,0.04
Barking and Dagenham,Other,7886,218871,0.04
Barnet,White,224762,389344,0.58
Barnet,Asian,74972,389344,0.19
Barnet,Black,30651,389344,0.08
Barnet,Mixed,20889,389344,0.05
Barnet,Other,38070,389344,0.10
Barnsley,Asian,2297,244572,0.01
Barnsley,Black,1715,244572,0.01
Barnsley,Mixed,2293,244572,0.01
Barnsley,Other,1333,244572,0.01
Barnsley,White,236934,244572,0.97
Bath and North East Somerset,Asian,6389,193409,0.03
Bath and North East Somerset,Black,1846,193409,0.01
Bath and North East Somerset,Mixed,5256,193409,0.03
Bath and North East Somerset,Other,1610,193409,0.01
Bath and North East Somerset,White,178308,193409,0.92
Bedford,Asian,23263,185224,0.13
Bedford,Black,9848,185224,0.05
Bedford,Mixed,8586,185224,0.05
Bedford,Other,3353,185224,0.02
Bedford,White,140174,185224,0.76
Bexley,White,177164,246475,0.72
Bexley,Asian,24434,246475,0.10
Bexley,Black,30075,246475,0.12
Bexley,Mixed,8740,246475,0.04
Bexley,Other,6062,246475,0.03
Birmingham,White,556608,1144922,0.49
Birmingham,Asian,355384,1144922,0.31
Birmingham,Black,125760,1144922,0.11
Birmingham,Mixed,55205,1144922,0.05
Birmingham,Other,51965,1144922,0.05
Blackburn with Darwen,Asian,55178,154741,0.36
Blackburn with Darwen,Black,1406,154741,0.01
Blackburn with Darwen,Mixed,2596,154741,0.02
Blackburn with Darwen,Other,2169,154741,0.01
Blackburn with Darwen,White,93392,154741,0.60
Blackpool,Asian,3676,141039,0.03
Blackpool,Black,711,141039,0.01
Blackpool,Mixed,2210,141039,0.02
Blackpool,Other,892,141039,0.01
Blackpool,White,133550,141039,0.95
Bolton,White,212941,295960,0.72
Bolton,Asian,59596,295960,0.20
Bolton,Black,11238,295960,0.04
Bolton,Mixed,6643,295960,0.02
Bolton,Other,5542,295960,0.02
"Bournemouth, Christchurch and Poole",Asian,13551,400195,0.03
"Bournemouth, Christchurch and Poole",Black,4233,400195,0.01
"Bournemouth, Christchurch and Poole",Mixed,11093,400195,0.03
"Bournemouth, Christchurch and Poole",Other,5808,400195,0.02
"Bournemouth, Christchurch and Poole",White,365510,400195,0.91
Bracknell Forest,Asian,8879,124605,0.07
Bracknell Forest,Black,2993,124605,0.02
Bracknell Forest,Mixed,3843,124605,0.03
Bracknell Forest,Other,1621,124605,0.01
Bracknell Forest,White,107269,124605,0.86
Bradford,White,334004,546412,0.61
Bradford,Asian,175664,546412,0.32
Bradford,Black,10978,546412,0.02
Bradford,Mixed,15006,546412,0.03
Bradford,Other,10760,546412,0.02
Brent,White,117701,339821,0.35
Brent,Asian,111515,339821,0.33
Brent,Black,59495,339821,0.18
Brent,Mixed,17249,339821,0.05
Brent,Other,33861,339821,0.10
Brighton and Hove,Asian,13217,277103,0.05
Brighton and Hove,Black,5458,277103,0.02
Brighton and Hove,Mixed,13228,277103,0.05
Brighton and Hove,Other,8629,277103,0.03
Brighton and Hove,White,236571,277103,0.85
Bristol,Asian,31269,472467,0.07
Bristol,Black,27890,472467,0.06
Bristol,Mixed,21116,472467,0.05
Bristol,Other,9050,472467,0.02
Bristol,White,383142,472467,0.81
Bromley,White,252295,329991,0.77
Bromley,Asian,27307,329991,0.08
Bromley,Black,25149,329991,0.08
Bromley,Mixed,17740,329991,0.05
Bromley,Other,7500,329991,0.02
Buckinghamshire UA,Asian,68318,553078,0.12
Buckinghamshire UA,Black,14269,553078,0.03
Buckinghamshire UA,Mixed,19570,553078,0.04
Buckinghamshire UA,Other,8757,553078,0.02
Buckinghamshire UA,White,442164,553078,0.80
Bury,White,160716,193851,0.83
Bury,Asian,20593,193851,0.11
Bury,Black,3690,193851,0.02
Bury,Mixed,5123,193851,0.03
Bury,Other,3729,193851,0.02
Calderdale,White,177836,206631,0.86
Calderdale,Asian,21726,206631,0.11
Calderdale,Black,1439,206631,0.01
Calderdale,Mixed,4027,206631,0.02
Calderdale,Other,1603,206631,0.01
Cambridgeshire,White,601163,678847,0.89
Cambridgeshire,Asian,39690,678847,0.06
Cambridgeshire,Black,9745,678847,0.01
Cambridgeshire,Mixed,19353,678847,0.03
Cambridgeshire,Other,8896,678847,0.01
Camden,White,125064,210136,0.60
Camden,Asian,38042,210136,0.18
Camden,Black,18892,210136,0.09
Camden,Mixed,13938,210136,0.07
Camden,Other,14200,210136,0.07
Central Bedfordshire,Asian,10321,294251,0.04
Central Bedfordshire,Black,7018,294251,0.02
Central Bedfordshire,Mixed,8885,294251,0.03
Central Bedfordshire,Other,2482,294251,0.01
Central Bedfordshire,White,265545,294251,0.90
Cheshire East,Asian,9531,398772,0.02
Cheshire East,Black,2422,398772,0.01
Cheshire East,Mixed,7059,398772,0.02
Cheshire East,Other,3217,398772,0.01
Cheshire East,White,376543,398772,0.94
Cheshire West and Chester,Asian,7231,357149,0.02
Cheshire West and Chester,Black,2107,357149,0.01
Cheshire West and Chester,Mixed,5291,357149,0.02
Cheshire West and Chester,Other,2159,357149,0.01
Cheshire West and Chester,White,340361,357149,0.95
City of London,White,5955,8584,0.69
City of London,Asian,1445,8584,0.17
City of London,Black,232,8584,0.03
City of London,Mixed,470,8584,0.06
City of London,Other,482,8584,0.06
Cornwall,Asian,4032,570305,0.01
Cornwall,Black,1058,570305,0.00
Cornwall,Mixed,7030,570305,0.01
Cornwall,Other,6055,570305,0.01
Cornwall,White,552130,570305,0.97
County Durham,Asian,7834,522067,0.02
County Durham,Black,1740,522067,0.00
County Durham,Mixed,4949,522067,0.01
County Durham,Other,2073,522067,0.00
County Durham,White,505471,522067,0.97
Coventry,White,226246,345321,0.66
Coventry,Asian,63915,345321,0.19
Coventry,Black,30723,345321,0.09
Coventry,Mixed,11731,345321,0.03
Coventry,Other,12706,345321,0.04
Croydon,White,188985,390724,0.48
Croydon,Asian,68487,390724,0.18
Croydon,Black,88441,390724,0.23
Croydon,Mixed,29745,390724,0.08
Croydon,Other,15066,390724,0.04
Cumbria,Asian,4911,499847,0.01
Cumbria,Black,1194,499847,0.00
Cumbria,Mixed,4002,499847,0.01
Cumbria,Other,1715,499847,0.00
Cumbria,White,488025,499847,0.98
Darlington,Asian,2966,107796,0.03
Darlington,Black,701,107796,0.01
Darlington,Mixed,1472,107796,0.01
Darlington,Other,932,107796,0.01
Darlington,White,101725,107796,0.94
Derby,Asian,40901,261364,0.16
Derby,Black,10482,261364,0.04
Derby,Mixed,9562,261364,0.04
Derby,Other,7548,261364,0.03
Derby,White,192871,261364,0.74
Derbyshire,Asian,11673,794629,0.02
Derbyshire,Black,4081,794629,0.01
Derbyshire,Mixed,10850,794629,0.01
Derbyshire,Other,2732,794629,0.00
Derbyshire,White,765293,794629,0.96
Devon,Asian,11842,811633,0.02
Devon,Black,2473,811633,0.00
Devon,Mixed,10969,811633,0.01
Devon,Other,3899,811633,0.01
Devon,White,782450,811633,0.96
Doncaster,White,286955,308104,0.93
Doncaster,Asian,9086,308104,0.03
Doncaster,Black,3742,308104,0.01
Doncaster,Mixed,4603,308104,0.02
Doncaster,Other,3718,308104,0.01
Dorset,Asian,4305,379580,0.01
Dorset,Black,1082,379580,0.00
Dorset,Mixed,4436,379580,0.01
Dorset,Other,1342,379580,0.00
Dorset,White,368415,379580,0.97
Dudley,White,274596,323488,0.85
Dudley,Asian,27047,323488,0.08
Dudley,Black,8170,323488,0.03
Dudley,Mixed,9191,323488,0.03
Dudley,Other,4484,323488,0.01
Ealing,White,158463,367116,0.43
Ealing,Asian,111241,367116,0.30
Ealing,Black,39491,367116,0.11
Ealing,Mixed,19161,367116,0.05
Ealing,Other,38760,367116,0.11
East Riding of Yorkshire,Asian,3686,342215,0.01
East Riding of Yorkshire,Black,894,342215,0.00
East Riding of Yorkshire,Mixed,3197,342215,0.01
East Riding of Yorkshire,Other,1276,342215,0.00
East Riding of Yorkshire,White,333162,342215,0.97
East Sussex,Asian,11619,545850,0.02
East Sussex,Black,4499,545850,0.01
East Sussex,Mixed,12313,545850,0.02
East Sussex,Other,4983,545850,0.01
East Sussex,White,512436,545850,0.94
Enfield,White,171884,329985,0.52
Enfield,Asian,37973,329985,0.12
Enfield,Black,60512,329985,0.18
Enfield,Mixed,19558,329985,0.06
Enfield,Other,40058,329985,0.12
Essex,White,1358554,1503521,0.90
Essex,Asian,56252,1503521,0.04
Essex,Black,37392,1503521,0.03
Essex,Mixed,36774,1503521,0.02
Essex,Other,14549,1503521,0.01
Gateshead,White,183489,196149,0.94
Gateshead,Asian,4925,196149,0.03
